id,artist_name,track_name,genre,year
54X4tsc4YnvhliQQjP1T0V,Pitbull,You're Ma Cherie - DJ Antoine vs Mad Mark 2K13 Radio Edit,pop,2013
54X4tsc4YnvhliQQjP1T0V,Mad Mark,You're Ma Cherie - DJ Antoine vs Mad Mark 2K13 Radio Edit,pop,2013
5aePqSLsPvdZYTqbuZJQnO,El Biri,Tramposa,pop,2013
3VlYMpSmYooLpzLiRBBfbX,BTS,Paldogangsan,pop,2013
5cghqtgljxpGJ1XeXAIK4p,Charli xcx,You (Ha Ha Ha),pop,2013
2VNpT9fRk1kyksT0S4coZR,EXO,The First Snow,pop,2013
47rzxY9wSpomHE1gT94jIT,Ariana Grande,Right There,pop,2013
47rzxY9wSpomHE1gT94jIT,Big Sean,Right There,pop,2013
2OoLIJNxpsNs9wIHqWQrED,Lady Gaga,Donatella,pop,2013
2fDByLUAC1YsxbhgHGBqdg,Fly Project,Toca Toca,pop,2013
0JswmIBSn3XZ15wEEtH5fj,James Arthur,Impossible - Acoustic,pop,2013
29vOLabxvytbI8fX9xgTaD,BTS,We On,pop,2013
6vt0I1cw1YmAIKDJvHVIM5,Justin Timberlake,Suit & Tie (feat. JAY-Z),pop,2013
6vt0I1cw1YmAIKDJvHVIM5,JAY-Z,Suit & Tie (feat. JAY-Z),pop,2013
1ki575hbZbZ6nkBrfpzD0b,Gloria Trevi,Habla Blah Blah,pop,2013
1ki575hbZbZ6nkBrfpzD0b,Shy Carter,Habla Blah Blah,pop,2013
4EwNWRBWdZ6bgvxRHlZ8OO,G-DRAGON,CROOKED,pop,2013
04O2lYPszboATcwFyjF80O,Saad Lamjarred,Mal Hbibi,pop,2013
0WxS9Vw4649veGUtOrOPO1,Moderat,Let in the Light,pop,2013
6xJOhSm4SvZwzy3uhWz26O,Andrew Belle,The Enemy,pop,2013
2VL0W9x83RwQOBGbfphBqW,Carlos Vives,La Foto de los Dos,pop,2013
3KkbZok84es6JqI5aiLj1g,BTS,BTS Cypher Pt.1,pop,2013
30V0N0nJFHzKq5BXCWvF8O,JENCARLOS,Dime,pop,2013
0TPF6uW7fhMXJPoBERqTy5,All Time Low,A Love Like War (feat. Vic Fuentes),pop,2013
0TPF6uW7fhMXJPoBERqTy5,Vic Fuentes,A Love Like War (feat. Vic Fuentes),pop,2013
6dDIOU6AqgLkrjFNPgvKY6,Miley Cyrus,FU (feat. French Montana),pop,2013
6dDIOU6AqgLkrjFNPgvKY6,French Montana,FU (feat. French Montana),pop,2013
2QVXLAI2Io3tDmhFOSumr0,BTS,Interlude,pop,2013
