artist_name,similar_artist_name
Benjamin Clementine,Michael Kiwanuka
Benjamin Clementine,Roseaux
Benjamin Clementine,Piers Faccini
Nick Mulvey,Blanco White
Nick Mulvey,Roo Panes
Nick Mulvey,Ben Howard
Nick Mulvey,Charlie Cunningham
Nick Mulvey,Dekker
Nicki Minaj,Young Money
Nicki Minaj,JT
Nicki Minaj,London On Da Track
Nicki Minaj,City Girls
Nicki Minaj,Yo Gotti
Alejandro Sanz,Cristian Castro
Alejandro Sanz,Ricardo Arjona
Alejandro Sanz,Franco De Vita
Alejandro Sanz,Sin Bandera
Alejandro Sanz,Ricardo Montaner
Freeway,Memphis Bleek
Freeway,Beanie Sigel
Freeway,Jadakiss
Freeway,Cam'ron
Freeway,Juelz Santana
Fondo Flamenco,Andy & Lucas
Fondo Flamenco,El Barrio
Fondo Flamenco,Estopa
Fondo Flamenco,Los Chichos
Fondo Flamenco,Los Delinqüentes
Reik,Camila
Reik,Sin Bandera
Reik,Jesse & Joy
Reik,Río Roma
Reik,Ha*Ash
Emeli Sandé,Leona Lewis
Emeli Sandé,Rebecca Ferguson
Emeli Sandé,Paloma Faith
Emeli Sandé,Ella Henderson
Emeli Sandé,Alicia Keys
Xenturion Prime,Machinista
Xenturion Prime,Beyond Border
Xenturion Prime,Uncreated
Xenturion Prime,Unity One
Xenturion Prime,Surveillance
Joey Galaxy,Young Cash
Joey Galaxy,Cory Gunz
Joey Galaxy,Mack Maine
Joey Galaxy,CyHi The Prynce
Joey Galaxy,Honey Cocaine
Megabass,Two Little Boys
Megabass,Nacho Division
Megabass,The Hypnotist
Megabass,Liquid Crystal
Megabass,High Density
El Arrebato,Antonio Orozco
El Arrebato,Melendi
El Arrebato,El Barrio
El Arrebato,Estopa
El Arrebato,Andy & Lucas
El Cuarteto De Nos,La Vela Puerca
El Cuarteto De Nos,No Te Va Gustar
El Cuarteto De Nos,Los Rodríguez
El Cuarteto De Nos,Soda Stereo
El Cuarteto De Nos,Fito Páez
DJ Antoine,R.I.O.
DJ Antoine,Edward Maya
DJ Antoine,Remady
DJ Antoine,David Guetta
DJ Antoine,Klaas
Becky,Fright Ranger
Becky,Kitty Von Steel
Becky,Yoshi J
Becky,Barbie Young
Becky,Judy Crystal
Pharrell Williams,N*E*R*D
Pharrell Williams,"Tyler, The Creator"
Pharrell Williams,OFWGKTA
Pharrell Williams,Kelis
Pharrell Williams,Clipse
Red Velvet,Wendy
Red Velvet,SEULGI
Red Velvet,Joy
Red Velvet,Red Velvet - IRENE & SEULGI
Red Velvet,Irene
Sophie Ellis-Bextor,Kylie Minogue
Sophie Ellis-Bextor,Dannii Minogue
Sophie Ellis-Bextor,Sugababes
Sophie Ellis-Bextor,Girls Aloud
Sophie Ellis-Bextor,Rachel Stevens
Andrew Belle,Dustin Tebbutt
Andrew Belle,Aron Wright
Andrew Belle,Harrison Storm
Andrew Belle,Greg Laswell
Andrew Belle,Racing Glaciers
Jay Park,Sik-K
Jay Park,ZICO
Jay Park,pH-1
Jay Park,Coogie
Jay Park,Mino
Tyler Ward,Alex Goot
Tyler Ward,Kurt Hugo Schneider
Tyler Ward,Boyce Avenue
Tyler Ward,Megan Davies
Tyler Ward,Jessie J
Hype,Rhyn
Hype,Mr Jones Machine
Hype,Fresh Body Shop
Hype,Sista mannen på jorden
Hype,Steep
Cholo Valderrama,Aries Vigoth
Cholo Valderrama,Reynaldo Armas
Cholo Valderrama,Alejandro Rondon
Cholo Valderrama,Jorge Guerrero
Cholo Valderrama,Vitico Castillo
